#	G1:Mov10oe	G1:Mov10oe	G1:Mov10oe	G2:control	G2:control	G2:control
#Feature	mov10oe1	mov10oe2	mov10oe3	ctrl1	ctrl2	ctrl3
FAM71F1	0	1	0	4	6	3
FAM71F2	4	3	2	5	10	5
FAM72A	229	227	154	211	169	134
FAM72B	493	484	310	406	394	281
FAM72D	287	278	173	251	234	152
FAM73A	1915	1740	1124	1562	1412	1117
FAM73B	630	581	309	782	686	566
FAM74A1	0	0	0	0	0	0
FAM74A2	0	0	0	0	0	0
FAM74A3	0	0	0	0	0	0
FAM74A4	0	0	0	0	0	0
FAM75A1	0	0	0	0	0	0
FAM75A2	0	0	0	0	0	0
FAM75A3	0	0	0	0	0	0
FAM75A4	0	0	0	0	0	0
FAM75A5	0	0	0	0	0	0
FAM75A6	0	0	0	0	0	0
FAM75A7	0	0	0	0	0	0
FAM75C1	0	0	0	0	0	0
FAM75C2	0	0	0	0	1	0
FAM75D1	0	0	0	0	0	0
FAM75D3	0	0	0	0	0	0
FAM75D4	0	0	0	0	0	0
FAM75D5	0	0	0	0	0	0
FAM76A	593	485	294	497	413	339
FAM76B	1406	1246	892	1365	1149	821
FAM78A	219	211	101	161	146	125
FAM78B	12	14	1	16	14	12
FAM81A	160	143	81	225	207	141
FAM81B	1	2	0	4	0	2
FAM82A1	67	73	40	64	57	39
FAM82A2	811	679	441	929	720	588
FAM82B	856	809	515	712	630	497
FAM83A	0	2	1	2	1	1
FAM83B	243	241	168	279	251	195
FAM83C	1	0	0	2	0	1
FAM83D	1228	1188	660	1519	1282	963
FAM83E	12	7	0	4	6	4
FAM83F	0	2	0	1	1	0
FAM83G	491	431	279	487	470	363
FAM83H	1458	1526	738	2079	1803	1460
FAM84A	25	24	10	30	24	19
FAM84B	6240	5915	3372	5571	4639	3636
FAM86A	448	458	213	389	315	253
FAM86B1	39	51	28	48	41	35
FAM86B2	6	6	6	4	2	3
FAM86C1	165	138	84	139	129	89
FAM86C2P	115	91	59	68	84	70
FAM86DP	303	281	173	295	279	215
FAM86EP	171	166	59	185	138	116
FAM86FP	169	182	109	134	116	95
FAM86HP	103	100	47	82	64	46
FAM89A	1390	1353	783	1039	832	684
FAM89B	390	408	194	581	448	316
FAM8A1	3195	3026	2024	2354	2062	1522
FAM90A1	25	14	9	7	11	12
FAM90A10	0	0	0	0	0	0
FAM90A10P	0	0	0	0	0	0
FAM90A13	0	0	0	0	0	0
FAM90A14	0	0	0	0	0	0
FAM90A18	0	0	0	0	0	0
FAM90A19	0	0	0	0	0	0
FAM90A20	0	0	0	1	0	0
FAM90A25P	3	3	4	3	1	2
FAM90A27P	0	0	0	0	0	0
FAM90A2P	1	0	0	0	2	0
FAM90A5	0	0	0	0	0	0
FAM90A7	0	0	0	0	0	0
FAM90A7P	0	0	0	0	0	0
FAM90A8	0	0	0	0	0	0
FAM90A9	0	0	0	0	0	0
FAM91A1	2354	2045	1461	2452	2183	1563
FAM91A2	11	20	6	9	11	6
FAM92A1	251	186	139	271	224	170
FAM92A3	55	38	26	44	55	24
FAM92B	2	1	0	1	0	1
FAM95B1	0	0	0	0	0	1
FAM96A	989	962	588	1070	868	656
FAM96B	826	886	382	944	749	623
FAM98A	2375	2094	1235	2256	1819	1436
FAM98B	1218	1130	779	1327	1220	804
FAM98C	166	211	106	186	175	131
FAM99A	0	0	0	0	0	0
FAM99B	0	0	0	0	0	0
FAM9A	0	1	0	0	0	0
FAM9B	1	0	0	0	0	0
FAM9C	0	2	0	1	0	0
FAN1	1451	1322	827	1283	1044	828
FANCA	1619	1506	798	1482	1273	1126
FANCB	525	460	309	385	388	279
FANCC	889	808	515	1034	915	694
FANCD2	4646	4235	2602	4266	3683	2912
FANCE	955	921	471	783	732	614
FANCF	293	249	147	294	214	193
FANCG	725	644	360	657	564	475
FANCI	7681	7072	4461	8270	7007	5516
FANCL	1717	1678	990	1570	1390	1016
FANCM	896	865	642	841	709	519
FANK1	28	23	13	17	11	14
FAP	1	0	0	1	0	0
FAR1	4754	4053	2781	4398	3675	2746
FAR2	844	836	474	849	754	539
FARP1	1405	1347	750	1305	1089	898
FARP2	595	500	298	528	508	409
FARS2	329	285	160	294	221	164
FARSA	3055	2916	1406	3337	2764	2108
FARSB	3944	3528	2082	4371	3615	2692
FAS	352	243	183	189	165	134
FAS-AS1	2	2	2	2	1	2
FASLG	0	0	0	0	0	0
FASN	12879	13171	6470	12895	11190	8847
FASTK	1678	1682	783	1851	1491	1230
FASTKD1	1229	1056	732	1091	1010	714
FASTKD2	1501	1316	858	1344	1169	915
FASTKD3	846	810	481	881	694	559
FASTKD5	1125	1033	641	1350	1174	833
FAT1	5045	3449	2367	3502	2936	2077
FAT2	0	0	0	1	0	0
FAT3	751	545	369	522	425	349
FAT4	852	588	401	524	437	280
FATE1	0	0	0	0	0	0
FAU	2753	2835	1320	2902	2419	1941
FAXC	934	846	559	874	770	617
FBF1	565	600	317	556	475	396
FBL	8599	7955	3912	8658	7048	5703
FBLIM1	1049	1015	532	859	788	655
FBLL1	66	80	29	36	30	33
FBLN1	1965	1810	960	1363	1109	898
FBLN2	6	4	6	2	2	3
FBLN5	402	396	231	322	284	208
FBLN7	10	8	8	2	8	0
FBN1	498	426	246	552	499	383
FBN2	4252	3151	1957	2461	2040	1605
FBN3	44	48	24	16	10	12
FBP1	8	12	2	11	9	6
FBP2	1	0	0	6	7	3
FBRS	2618	2564	1341	2944	2349	1902
FBRSL1	1647	1844	857	1828	1582	1211
FBXL12	827	877	420	555	446	336
FBXL13	15	16	7	12	14	11
FBXL14	583	550	287	618	560	429
FBXL15	324	324	172	256	235	180
FBXL16	88	112	40	99	97	54
FBXL17	673	641	400	799	622	460
FBXL18	835	758	437	1034	828	606
FBXL19	2041	2122	1001	2602	2249	1725
FBXL19-AS1	1287	1227	650	1177	1018	818
FBXL2	505	378	264	333	268	261
FBXL20	2279	1968	1155	1805	1581	1193
FBXL21	519	492	303	479	422	339
FBXL22	2	0	1	1	0	2
FBXL3	3918	3478	2249	3706	3284	2383
FBXL4	719	701	423	666	538	410
FBXL5	1487	1413	820	1541	1416	1020
FBXL6	454	489	212	413	333	278
FBXL7	21	18	13	26	15	13
FBXL8	73	89	47	59	42	46
FBXO10	639	607	310	665	547	455
FBXO11	2617	2551	1632	2404	2118	1585
FBXO15	6	7	4	7	10	2
FBXO16	120	87	41	93	83	54
FBXO17	1343	1352	701	1371	1202	922
FBXO18	1715	1604	956	2044	1726	1285
FBXO2	131	122	44	101	119	98
FBXO21	2320	2195	1217	1960	1697	1277
FBXO22	2441	2145	1376	2252	2023	1533
FBXO22-AS1	3	3	1	0	1	4
FBXO24	20	31	18	19	16	12
FBXO25	654	604	323	675	690	482
FBXO27	208	205	121	139	158	105
FBXO28	3405	3065	2048	3853	3196	2396
FBXO3	1330	1213	735	1432	1155	877
FBXO30	2023	1811	1251	1811	1573	1175
FBXO31	528	497	248	515	467	385
FBXO32	382	351	209	318	265	189
FBXO33	1128	1013	608	1187	952	690
FBXO34	1189	1102	718	1116	952	783
FBXO36	88	91	45	39	28	22
FBXO38	1868	1768	1021	1682	1469	1158
FBXO39	0	0	0	0	0	0
FBXO4	292	265	160	302	301	170
FBXO40	1	0	1	0	0	0
FBXO41	736	687	325	566	513	473
FBXO42	1314	1221	640	1384	1149	949
FBXO43	10	10	10	5	11	8
FBXO44	998	1004	505	1101	947	816
FBXO45	2091	1945	1288	2102	1863	1366
FBXO46	1549	1532	722	1453	1311	1026
FBXO47	0	1	1	2	0	1
FBXO48	391	308	210	206	195	149
FBXO5	3471	3079	2070	3037	2609	1914
FBXO6	92	101	40	87	80	73
FBXO7	3269	3209	1781	3477	3003	2303
FBXO8	756	683	438	496	422	327
FBXO9	3121	3006	1728	3260	2683	2194
FBXW10	12	6	0	0	7	1
FBXW11	2961	2760	1624	3244	2750	2017
FBXW12	14	15	5	5	3	4
FBXW2	3434	3001	1818	3269	2940	2109
FBXW4	617	600	276	684	523	477
FBXW4P1	175	174	66	193	162	136
FBXW5	1076	1097	529	1237	984	788
FBXW7	1539	1396	888	992	885	654
FBXW8	646	659	340	581	511	385
FBXW9	359	331	151	376	313	269
FCAMR	0	0	0	0	0	1
FCAR	0	0	0	0	0	0
FCER1A	0	0	0	0	0	0
FCER1G	4	0	1	2	4	1
FCER2	0	1	0	1	2	1
FCF1	1598	1353	754	1664	1353	999
FCGBP	13	12	1	14	15	5
FCGR1A	1	0	0	0	0	0
FCGR1B	0	0	0	0	0	0
FCGR1C	0	0	0	0	0	0
FCGR2A	27	33	15	32	24	19
FCGR2B	4	2	0	0	3	0
FCGR2C	0	1	1	3	1	2
FCGR3A	0	0	0	0	0	0
FCGR3B	0	0	0	0	0	0
FCGRT	931	979	504	368	295	274
FCHO1	136	141	75	152	101	80
FCHO2	908	846	588	773	677	451
FCHSD1	459	450	244	480	447	368
FCHSD2	961	910	595	991	852	682
FCN1	0	0	0	0	0	0
FCN2	0	0	0	0	0	0
FCN3	3	0	0	0	1	0
FCRL1	0	0	0	0	0	0
FCRL2	0	0	0	0	0	0
FCRL3	0	0	0	0	0	0
FCRL4	0	0	0	0	0	0
FCRL5	0	0	0	0	0	0
FCRL6	0	0	0	0	0	0
FCRLA	5	0	2	0	4	0
FCRLB	41	45	23	25	16	10
FDCSP	0	0	0	0	0	0
FDFT1	3916	3964	1993	3945	3183	2493
FDPS	2046	2060	1062	1811	1429	1293
FDPSL2A	0	0	0	0	0	0
FDX1	902	819	515	1006	840	578
FDX1L	349	349	167	489	364	304
FDXACB1	220	164	111	228	168	168
FDXR	378	402	189	317	293	266
FECH	1146	1160	650	1159	1036	773
FEM1A	1918	1837	941	2548	2050	1592
FEM1B	2552	2497	1486	2315	2086	1558
FEM1C	1995	1877	1272	1584	1376	1009
FEN1	3671	3452	1909	4152	3334	2696
FER	353	262	189	253	257	172
FER1L4	45	43	18	27	20	17
FER1L5	10	4	2	5	9	7
FER1L6	2	8	4	8	6	4
FER1L6-AS1	1	0	0	0	0	0
FERD3L	0	0	0	0	0	0
FERMT1	240	215	125	330	266	221
FERMT2	2331	2169	1372	2249	1938	1398
FERMT3	21	13	8	24	24	19
FES	6	9	10	14	4	10
FETUB	0	1	0	0	1	0
FEV	12	11	7	10	11	8
FEZ1	406	421	207	281	270	194
FEZ2	1116	1149	738	1154	1007	772
FEZF1	25	26	14	30	27	14
FEZF2	8	7	1	3	3	2
FFAR1	0	0	0	0	0	0
FFAR2	1	0	0	0	0	0
FFAR3	0	0	0	0	0	0
FGA	0	0	0	0	0	0
FGB	2	1	0	0	1	1
FGD1	964	1026	497	913	812	598
FGD2	1	1	1	3	5	1
FGD3	42	37	14	41	41	24
FGD4	443	397	316	442	400	272
FGD5	86	80	39	70	63	61
FGD5-AS1	6259	5899	3250	7063	6134	4564
FGD6	745	641	452	613	566	426
FGF1	4	7	0	3	2	3
FGF10	0	0	0	0	0	0
FGF11	252	263	149	312	296	251
FGF12	180	161	108	172	147	102
FGF13	273	257	144	240	233	165
FGF14	3	0	1	0	0	0
FGF14-IT1	0	0	1	0	1	0
FGF16	0	0	0	0	0	0
FGF17	0	0	0	1	0	0
FGF18	28	32	14	33	23	21
FGF19	30	36	19	18	19	12
FGF2	1089	988	688	658	629	489
FGF20	3	4	0	2	3	1
FGF21	21	29	10	9	8	7
FGF22	2	8	6	5	5	7
FGF23	46	47	22	20	18	13
FGF3	0	1	0	1	0	0
FGF4	0	0	0	0	0	0
FGF5	193	158	141	146	111	81
FGF6	0	0	0	2	1	0
FGF7	4	3	3	5	2	5
FGF8	13	12	9	6	8	6
FGF9	512	461	276	459	368	299
FGFBP1	4	1	1	2	2	1
FGFBP2	0	0	0	0	0	0
FGFBP3	248	207	117	192	166	130
FGFR1	1653	1582	876	1513	1241	1080
FGFR1OP	1164	1071	611	1167	1050	765
FGFR1OP2	1500	1370	962	1145	925	697
FGFR2	1653	1552	894	1729	1507	1093
FGFR3	1660	1708	878	1715	1472	1192
FGFR4	457	430	246	382	335	287
FGFRL1	1274	1256	602	1320	1044	889
FGG	0	0	1	0	0	1
FGGY	110	94	62	112	95	70
FGL1	5	9	7	4	2	0
FGL2	7	4	8	5	2	8
FGR	0	0	0	1	1	0
FH	922	925	577	940	811	602
FHAD1	201	161	81	151	120	95
FHDC1	190	143	81	197	158	142
FHIT	163	169	84	91	67	68
FHL1	8433	7917	4415	8792	7487	6051
FHL2	572	615	318	487	456	334
FHL3	524	522	240	429	375	274
FHL5	0	0	0	1	0	0
FHOD1	816	816	396	821	726	640
FHOD3	1319	1312	702	1407	1219	977
FIBCD1	9	9	8	9	6	9
FIBIN	116	97	62	76	72	58
FIBP	1016	985	500	972	872	695
FICD	103	110	70	77	79	76
FIG4	1797	1625	910	1605	1308	997
FIGF	0	0	1	3	3	0
FIGLA	2	0	0	0	0	0
FIGN	780	674	422	516	506	414
FIGNL1	2330	2171	1419	2260	1900	1470
FIGNL2	95	95	56	23	23	18
FILIP1	173	155	92	90	84	80
FILIP1L	296	286	179	154	134	104
FIP1L1	2012	1987	1136	1862	1584	1302
FIS1	1169	1101	536	1362	1109	867
FITM1	1	1	0	1	0	0
FITM2	128	133	71	130	114	64
FIZ1	424	419	179	641	541	418
FJX1	697	697	334	683	558	419
FKBP10	6021	5796	2997	4493	3674	3141
FKBP11	214	177	97	154	158	105
FKBP14	820	767	518	639	578	384
FKBP15	1406	1270	680	1219	1114	807
FKBP1A	5175	4819	2622	5569	4642	3540
FKBP1A-SDCBP2	2	2	0	0	0	0
FKBP1AP1	55	51	28	38	36	41
FKBP1B	308	334	190	200	177	136
FKBP2	501	548	254	510	442	356
FKBP3	3928	3569	2212	3587	3164	2325
FKBP4	7971	7358	3894	7602	6076	5027
FKBP5	4255	3978	2346	4088	3540	2703
FKBP6	1	1	0	2	0	1
FKBP7	460	441	281	386	357	250
FKBP8	3866	3875	1711	3648	3160	2566
FKBP9	1341	1105	638	938	853	651
FKBP9L	35	32	15	25	28	16
FKBPL	682	589	338	456	400	355
FKRP	1031	946	558	1162	931	729
FKSG29	0	0	1	0	1	0
FKTN	1681	1412	1046	1266	1156	839
FLAD1	1484	1411	756	1373	1157	859
FLCN	1622	1483	819	1320	1194	898
FLG	9	9	0	10	13	6
FLG2	0	0	0	0	1	0
FLI1	545	488	321	552	451	333
FLII	3726	3651	1884	3329	2843	2321
FLJ10038	291	309	162	160	166	115
FLJ10661	136	155	98	103	104	92
FLJ11235	8	10	6	5	3	1
FLJ12334	1	0	0	0	0	0
FLJ12825	7	5	2	0	2	0
FLJ13197	16	9	7	12	11	6
FLJ13224	36	34	14	17	12	14
FLJ14107	1	1	1	0	1	0
FLJ14186	372	307	135	323	330	241
FLJ16171	0	0	0	0	0	0
FLJ16341	1	0	0	2	2	1
FLJ16779	1	1	2	1	3	0
FLJ20021	75	111	34	42	34	36
FLJ20518	0	0	0	0	0	0
FLJ21408	4	4	7	3	0	0
FLJ22184	694	817	364	763	663	517
FLJ22447	14	9	7	10	5	7
FLJ22763	0	0	0	0	0	0
FLJ23152	138	166	77	117	99	78
FLJ23867	23	21	12	34	21	11
FLJ25328	0	0	0	0	0	0
FLJ25363	0	0	0	0	0	0
FLJ25758	0	0	0	2	1	0
FLJ26245	0	0	0	0	0	0
FLJ26850	15	17	10	12	7	5
FLJ27352	49	59	21	41	36	32
FLJ27354	33	21	6	20	15	12
FLJ30403	123	121	76	95	74	51
FLJ30679	49	54	32	17	20	17
FLJ30838	6	13	3	4	3	7
FLJ31306	1230	1084	741	1399	1194	933
FLJ31485	614	578	299	630	518	473
FLJ31662	0	0	0	0	0	0
FLJ31813	18	10	4	13	10	5
FLJ32063	11	14	7	8	3	5
FLJ32224	82	93	51	63	45	32
FLJ33065	32	19	19	21	22	21
FLJ33360	1	0	1	5	8	1
FLJ33534	4	1	1	1	0	0
FLJ33581	0	0	0	0	0	0
FLJ33630	117	142	90	99	90	62
FLJ34208	3	8	5	5	2	5
FLJ34503	4	10	1	3	5	3
FLJ34690	1	0	0	0	0	0
FLJ35024	10	18	4	8	4	2
FLJ35282	0	1	0	1	1	0
FLJ35390	29	34	20	28	22	14
FLJ35424	0	0	0	0	0	0
FLJ35776	22	34	12	25	13	12
FLJ35946	65	47	18	31	21	19
FLJ36000	0	0	0	1	0	0
FLJ36777	9	13	9	5	7	2
FLJ37035	23	23	10	19	17	10
FLJ37201	200	201	117	122	118	94
FLJ37453	1387	1420	752	799	696	543
FLJ37505	0	0	0	0	0	0
FLJ38109	9	17	6	10	7	7
FLJ38576	22	23	11	12	13	8
FLJ39051	20	16	10	11	7	6
FLJ39080	1	0	0	3	0	1
FLJ39534	92	87	54	86	94	56
FLJ39639	40	38	16	28	15	18
FLJ39653	33	35	17	32	30	27
FLJ39739	0	0	0	1	0	0
FLJ40194	0	0	0	0	0	0
FLJ40288	0	0	0	0	0	0
FLJ40292	0	1	1	2	0	0
FLJ40434	0	0	0	0	0	0
FLJ40852	63	59	33	71	58	59
FLJ41200	0	0	0	0	0	0
FLJ41278	1	1	0	0	2	1
FLJ41350	271	249	140	255	197	187
FLJ41484	23	18	17	15	8	11
FLJ41649	0	0	0	1	0	0
FLJ41941	5	3	1	2	1	0
FLJ42102	0	1	0	0	1	0
FLJ42280	2	2	1	2	0	2
FLJ42289	43	47	21	77	54	52
FLJ42351	34	28	14	14	15	7
FLJ42393	0	0	0	0	0	0
FLJ42627	67	64	44	65	52	45
FLJ42709	308	283	148	259	224	175
FLJ42875	122	125	51	103	73	55
FLJ42969	0	0	1	0	0	2
FLJ43315	0	0	0	0	0	0
FLJ43390	4	2	2	6	4	7
FLJ43663	244	246	165	116	131	101
FLJ43681	6	3	1	5	4	3
FLJ43826	50	42	23	47	44	38
FLJ43860	0	0	0	1	0	1
FLJ43879	0	0	0	0	0	0
FLJ44054	0	0	0	0	0	0
FLJ44511	69	69	39	36	40	19
FLJ44635	2548	2195	1573	2121	1856	1410
FLJ45079	0	0	0	0	0	0
FLJ45340	2055	1934	898	1785	1749	1371
FLJ45445	10	18	10	14	15	7
FLJ45513	19	19	10	25	18	17
FLJ45974	0	0	0	0	0	0
FLJ45983	35	29	23	14	17	10
FLJ46066	0	0	0	0	0	0
FLJ46257	0	0	0	0	0	0
FLJ46284	0	0	0	1	0	0
FLJ46300	3	2	0	5	9	1
FLJ46361	0	0	0	0	0	0
FLJ46446	0	0	0	0	0	0
FLJ46906	300	278	158	191	159	137
FLJ90757	599	601	313	585	534	448
FLNA	7420	7684	4027	6433	5666	4577
FLNB	2484	2223	1297	2057	1797	1409
FLNC	2530	2345	1354	1359	1228	1077
FLOT1	3329	3183	1544	2900	2469	2007
FLOT2	2927	2790	1383	3344	2742	2199
FLRT1	53	73	34	46	31	36
FLRT2	1124	1041	583	901	691	570
FLRT3	461	388	233	288	252	177
FLT1	771	552	430	643	481	348
FLT3	50	36	25	31	25	25
FLT3LG	90	74	41	53	50	39
FLT4	1096	1128	580	958	826	745
FLVCR1	1181	1020	631	1165	932	750
FLVCR1-AS1	64	73	35	52	61	38
FLVCR2	44	47	19	40	29	25
FLYWCH1	931	944	462	1092	930	697
FLYWCH2	404	416	204	422	364	278
FMN1	118	94	58	73	61	52
FMN2	518	510	300	516	439	345
FMNL1	179	152	79	123	107	93
FMNL2	2059	1907	1195	1579	1389	1141
FMNL3	680	676	359	750	662	517
FMO1	0	0	0	0	1	0
FMO2	3	0	0	1	0	1
FMO3	0	0	0	1	0	0
FMO4	81	75	54	71	66	40
FMO5	46	58	32	67	43	38
FMO6P	0	0	0	0	0	0
FMO9P	0	0	0	0	0	0
FMOD	13	13	12	12	10	13
FMR1	3040	2862	1760	3489	3118	2189
FMR1-AS1	11	5	10	12	1	9
FMR1NB	1	0	0	0	0	1
FN1	3620	2928	1719	2574	2075	1671
FN3K	26	31	19	23	22	16
FN3KRP	1173	1134	610	1199	1015	776
FNBP1	1287	1177	673	1572	1343	1005
FNBP1L	1758	1723	1046	1612	1449	1040
FNBP4	3731	3520	2269	3097	2754	2208
FNDC1	112	109	69	47	29	23
FNDC3A	2495	2153	1325	1646	1397	1033
FNDC3B	1921	1815	1103	1189	1022	798
FNDC4	204	211	94	157	132	108
FNDC5	51	55	32	44	30	29
FNDC7	12	12	10	25	18	4
FNDC8	1	0	0	1	0	0
FNDC9	0	0	0	0	0	0
FNIP1	1784	1587	1080	1659	1604	1078
FNIP2	1628	1406	887	1790	1558	1193
FNTA	901	797	503	926	734	566
FNTB	29	34	14	54	48	35
FOLH1	26	18	14	10	11	4
FOLH1B	1	1	1	1	0	1
FOLR1	22	15	10	22	7	15
FOLR2	1	0	1	0	0	0
FOLR3	0	2	0	0	1	0
FOLR4	0	0	0	0	0	0
FONG	8	5	6	9	8	3
FOPNL	1676	1499	1048	1731	1507	1163
FOS	456	405	249	663	511	346
FOSB	296	324	180	639	437	392
FOSL1	102	115	59	47	58	36
FOSL2	786	805	390	739	605	507
FOXA1	657	626	353	703	632	427
FOXA2	219	239	100	187	174	148
FOXA3	147	138	76	112	98	91
FOXB1	99	130	50	107	86	60
FOXB2	8	4	2	4	8	9
FOXC1	8316	8036	4293	8576	7216	5262
FOXC2	60	61	29	57	54	41
FOXD1	1087	1234	667	1054	874	626
FOXD2	258	270	130	250	221	190
FOXD3	236	231	118	188	173	124
FOXD4	32	26	13	83	59	49
FOXD4L1	8	9	0	13	15	8
FOXD4L2	0	0	0	0	0	0
FOXD4L3	0	0	0	2	1	0
FOXD4L4	0	0	0	0	0	0
FOXD4L5	0	0	0	0	1	1
FOXD4L6	0	0	0	0	0	0
FOXE1	113	113	62	124	100	73
FOXE3	5	7	4	12	15	7
FOXF1	191	192	83	168	162	110
FOXF2	1064	1186	630	1187	967	817
FOXG1	1063	1042	647	921	849	593
FOXH1	20	15	7	20	10	9
FOXI1	0	0	1	1	0	0
FOXI2	0	0	0	0	0	0
FOXI3	131	153	76	133	129	92
FOXJ1	42	30	16	4	6	4
FOXJ2	1221	1176	688	1105	887	693
FOXJ3	4189	3726	2370	3749	3234	2518
FOXK1	2252	1919	1092	2257	2039	1481
FOXK2	3872	3960	2206	4605	3971	3145
FOXL1	69	57	49	42	39	22
FOXL2	0	0	0	0	0	0
FOXM1	5932	5918	2917	9082	7589	6041
FOXN1	3	0	0	3	3	2
FOXN2	1263	1160	818	968	774	611
FOXN3	2395	2098	1373	2273	2079	1546
FOXN4	110	109	40	144	123	100
FOXO1	856	792	466	822	745	500
FOXO3	2915	2683	1525	2707	2415	1843
FOXO3B	856	767	430	864	738	552
FOXO4	986	970	493	820	718	609
FOXP1	1255	1156	816	1316	1079	900
FOXP2	965	871	567	916	801	654
FOXP3	22	26	2	11	19	14
FOXP4	2071	2199	976	2396	2091	1580
FOXQ1	240	277	139	456	390	328
FOXR1	0	1	1	0	0	0
FOXR2	0	0	0	0	1	0
FOXRED1	1225	1216	590	1166	1049	856
FOXRED2	2417	2338	1230	2825	2303	1904
FOXS1	2	0	0	0	1	0
FP588	25	33	25	15	13	7
FPGS	785	784	411	801	572	517
FPGT	948	878	607	829	745	552
FPGT-TNNI3K	0	4	2	0	2	0
FPR1	0	0	0	0	0	0
FPR2	1	1	0	0	0	0
FPR3	0	0	0	0	0	0
FRA10AC1	1244	1065	705	1172	1043	774
FRAS1	1178	801	511	788	684	528
FRAT1	192	185	90	155	131	84
FRAT2	1163	1153	592	1179	940	736
FREM1	72	72	35	49	27	45
FREM2	958	715	475	573	503	382
FREM3	0	1	0	0	0	0
FRG1	1037	903	572	781	712	531
FRG1B	498	447	293	369	360	251
FRG2	0	0	0	0	0	0
FRG2B	3	1	1	7	3	2
FRG2C	0	0	0	0	0	0
FRK	103	73	47	81	74	49
FRMD1	4	3	4	1	0	0
FRMD3	85	78	39	78	73	61
FRMD4A	523	501	277	522	454	349
FRMD4B	695	691	446	486	465	346
FRMD5	226	264	125	214	185	136
FRMD6	861	747	477	927	824	573
FRMD6-AS1	43	38	19	24	27	18
FRMD7	0	0	1	1	0	1
FRMD8	520	536	262	732	591	485
FRMD8P1	78	87	41	102	88	73
FRMPD1	65	44	36	51	58	43
FRMPD2	5	4	4	11	19	14
FRMPD2P1	0	0	0	0	0	0
FRMPD4	118	87	70	168	105	105
FRRS1	321	234	185	242	199	133
FRS2	1890	1592	1073	1830	1635	1187
FRS3	229	301	136	278	236	206
FRY	224	192	115	181	171	116
FRYL	1763	1405	969	1504	1386	959
FRZB	19	18	18	28	37	23
FSBP	0	0	0	0	0	0
FSCB	0	0	0	0	0	0
FSCN1	3246	3399	1574	3732	3253	2581
FSCN2	3	2	1	2	0	1
FSCN3	7	5	3	11	6	3
FSD1	842	866	397	869	719	577
FSD1L	269	252	203	255	224	171
FSD2	2	3	0	5	3	3
FSHB	0	0	0	0	0	0
FSHR	0	0	0	0	0	0
FSIP1	33	22	11	20	25	15
FSIP2	8	7	4	8	4	6
FST	80	88	50	54	52	31
FSTL1	6225	5759	3572	4793	4163	3209
FSTL3	149	138	63	165	136	105
FSTL4	123	114	63	70	59	61
FSTL5	0	1	0	0	0	1
FTCD	4	3	2	3	2	1
FTH1	6196	6101	3396	7101	6068	4526
FTH1P3	12	17	6	20	16	11
FTHL17	0	0	0	0	0	0
FTL	9201	9513	4390	9885	8252	6690
FTLP10	0	0	0	0	0	0
FTMT	0	0	0	0	1	0
FTO	1610	1588	856	1795	1540	1148
FTSJ1	1206	1208	682	952	875	668
FTSJ2	1648	1549	924	1630	1389	1035
FTSJ3	3477	3129	1799	3774	3053	2371
FTSJD1	885	826	499	797	677	517
FTSJD2	3071	2875	1634	3248	2699	2315
FTX	47	36	20	31	31	16
FUBP1	4770	4419	2744	3727	3320	2525
FUBP3	3718	3356	2213	4069	3531	2568
FUCA1	1437	1349	756	1243	990	830
FUCA2	2928	2584	1615	2966	2355	1819
FUK	244	243	144	220	181	154
FUNDC1	1171	1120	739	1236	1142	780
FUNDC2	1044	1017	533	1160	942	696
FUNDC2P2	100	100	50	115	86	73
FURIN	2698	2643	1395	2125	1777	1383
FUS	10904	9422	4993	13281	10606	8279
FUT1	470	439	271	262	189	159
FUT10	382	348	197	310	294	242
FUT11	528	498	292	477	433	359
FUT2	0	0	0	0	0	0
FUT3	13	8	6	5	3	2
FUT4	557	582	338	548	485	358
FUT5	8	1	4	3	2	1
FUT6	0	0	0	0	1	0
FUT7	1	4	1	2	1	0
FUT8	1049	970	667	924	735	625
FUT9	204	194	136	135	126	74
FUZ	1255	1239	637	1242	997	867
FXC1	1059	925	570	1110	940	725
FXN	475	376	255	542	486	357
FXR1	5215	4801	3028	4927	4372	3318
FXR2	2201	2140	1102	2670	2182	1836
FXYD1	8	12	1	6	7	5
FXYD2	0	0	0	0	0	0
FXYD3	0	1	0	1	0	0
FXYD4	0	0	0	0	0	0
FXYD5	861	959	494	774	599	483
FXYD6	773	823	377	432	408	330
FXYD6-FXYD2	0	0	0	0	0	0
FXYD7	1	5	2	0	0	2
FYB	1	1	0	0	1	1
FYCO1	2166	1995	1260	1219	1061	942
FYN	3328	3279	1772	3351	2851	2209
FYTTD1	2907	2385	1668	3531	3103	2207
FZD1	586	566	344	587	496	375
FZD10	429	425	215	579	482	410
FZD2	685	647	308	554	477	391
FZD3	1479	1207	829	1231	1009	775
FZD4	1198	1157	702	779	712	522
FZD5	1034	1020	612	878	801	528
FZD6	866	806	538	771	688	523
FZD7	1164	1156	634	1166	971	693
FZD8	714	732	430	690	599	460
FZD9	202	208	126	180	138	118
FZR1	1454	1367	650	1686	1398	1132
G0S2	82	105	50	30	23	19
G2E3	2182	1917	1450	1893	1642	1200
G3BP1	6616	5756	3757	6914	5924	4389
G3BP2	9036	7938	5282	9264	8151	5896
G6PC	0	0	0	0	1	0
G6PC2	0	0	0	0	1	0
G6PC3	1395	1447	667	1802	1540	1269
